,StartDate2,EndDate1,StartDate1,EndDate2,WarNum,WarName,WarType,ccode,StateName,Side,TransFrom,WhereFought,Initiator,Outcome,TransTo,BatDeath,Version,SameSide,OppositeSide,AlliesWithinWar,AlliesBeforeWar,AlliesAfterWar,AlliesGainedDuringWar,AlliesLostDuringWar,AlliesGained2YearsBeforeWar,AlliesLost2YearsBeforeWar,AlliesGained2YearsAfterWar,AlliesLost2YearsAfterWar
10,1849-03-25 00:00:00,1848-08-26 00:00:00,1848-04-10 00:00:00,1849-07-10 00:00:00,13,First Schleswig-Holstein,1,255,Prussia,1,-8,2,1,1,-8,2500,4,[],[390L],"[240L, 240L, 245L, 245L, 267L, 267L, 269L, 269L, 271L, 271L, 273L, 273L, 275L, 275L, 280L, 280L, 300L, 300L, 240L, 240L, 245L, 245L, 267L, 267L, 269L, 269L, 271L, 271L, 273L, 273L, 275L, 275L, 280L, 280L, 300L, 300L, 300L, 365L]","[240L, 240L, 245L, 245L, 267L, 267L, 269L, 269L, 271L, 271L, 273L, 273L, 275L, 275L, 280L, 280L, 300L, 300L, 240L, 240L, 245L, 245L, 267L, 267L, 269L, 269L, 271L, 271L, 273L, 273L, 275L, 275L, 280L, 280L, 300L, 300L, 300L, 365L]","[240L, 240L, 245L, 245L, 267L, 267L, 269L, 269L, 271L, 271L, 273L, 273L, 275L, 275L, 280L, 280L, 300L, 300L, 240L, 240L, 245L, 245L, 267L, 267L, 269L, 269L, 271L, 271L, 273L, 273L, 275L, 275L, 280L, 280L, 300L, 300L, 300L, 365L]",['None'],['None'],['None'],"[300L, 365L, 365L]","[240L, 269L]","[240L, 269L]"
11,1849-03-25 00:00:00,1848-08-26 00:00:00,1848-04-10 00:00:00,1849-07-10 00:00:00,13,First Schleswig-Holstein,1,390,Denmark,2,-8,2,2,2,-8,3500,4,[],[255L],['None'],['None'],['None'],['None'],['None'],['None'],['None'],['None'],['None']
12,2008-08-08,1849-07-02 00:00:00,1849-04-30 00:00:00,2008-08-08,16,Roman Republic,1,220,France,1,-8,2,1,1,-8,1000,4,"[329L, 300L]",[327L],['None'],['None'],['None'],['None'],['None'],"[200L, 230L, 235L]","[200L, 230L, 235L]",['None'],['None']
13,2008-08-08,1849-07-02 00:00:00,1849-05-08 00:00:00,2008-08-08,16,Roman Republic,1,329,Two Sicilies,1,-8,2,2,1,-8,100,4,"[220L, 300L]",[327L],['None'],['None'],['None'],['None'],['None'],['None'],[325L],['None'],['None']
14,2008-08-08,1849-07-02 00:00:00,1849-05-08 00:00:00,2008-08-08,16,Roman Republic,1,300,Austria,1,-8,2,2,1,-8,100,4,"[220L, 329L]",[327L],"[240L, 240L, 245L, 245L, 255L, 255L, 267L, 267L, 269L, 269L, 271L, 271L, 273L, 273L, 275L, 275L, 280L, 280L, 240L, 240L, 245L, 245L, 255L, 255L, 267L, 267L, 269L, 269L, 271L, 271L, 273L, 273L, 275L, 275L, 280L, 280L, 255L, 365L, 365L, 332L, 335L]","[240L, 240L, 245L, 245L, 255L, 255L, 267L, 267L, 269L, 269L, 271L, 271L, 273L, 273L, 275L, 275L, 280L, 280L, 240L, 240L, 245L, 245L, 255L, 255L, 267L, 267L, 269L, 269L, 271L, 271L, 273L, 273L, 275L, 275L, 280L, 280L, 255L, 365L, 365L]","[240L, 240L, 245L, 245L, 255L, 255L, 267L, 267L, 269L, 269L, 271L, 271L, 273L, 273L, 275L, 275L, 280L, 280L, 240L, 240L, 245L, 245L, 255L, 255L, 267L, 267L, 269L, 269L, 271L, 271L, 273L, 273L, 275L, 275L, 280L, 280L, 255L, 365L, 365L, 332L, 335L]",['None'],['None'],"[332L, 335L]","[337L, 325L, 255L, 365L]","[245L, 271L, 255L]","[245L, 271L]"
15,2008-08-08,1849-07-02 00:00:00,1849-04-30 00:00:00,2008-08-08,16,Roman Republic,1,327,Papal States,2,-8,2,2,2,-8,1400,4,[],"[220L, 329L, 300L]",['None'],['None'],['None'],['None'],['None'],['None'],['None'],['None'],['None']
16,2008-08-08,1852-02-03 00:00:00,1851-07-19 00:00:00,2008-08-08,19,La Plata,1,160,Argentina,2,327,1,2,2,-8,800,4,[],[140L],['None'],['None'],['None'],['None'],['None'],['None'],['None'],['None'],['None']
17,2008-08-08,1852-02-03 00:00:00,1851-07-19 00:00:00,2008-08-08,19,La Plata,1,140,Brazil,1,327,1,1,1,-8,500,4,[],[160L],['None'],['None'],['None'],['None'],['None'],['None'],['None'],['None'],['None']
18,2008-08-08,1856-03-01 00:00:00,1853-10-23 00:00:00,2008-08-08,22,Crimean,1,640,Turkey,1,-8,2,1,1,-8,45000,4,"[325L, 220L, 200L]",[365L],['None'],['None'],['None'],"[200L, 220L, 325L, 300L]",['None'],['None'],['None'],['None'],"[200L, 220L, 325L, 300L]"
19,2008-08-08,1856-03-01 00:00:00,1855-01-10 00:00:00,2008-08-08,22,Crimean,1,325,Italy,1,-8,2,2,1,-8,2200,4,"[640L, 220L, 200L]",[365L],"[200L, 220L, 640L, 200L, 220L]",['None'],['None'],['None'],['None'],"[200L, 220L, 640L, 200L, 220L]",['None'],['None'],"[200L, 220L, 640L, 200L, 220L]"
